Id,Year,SECTION_ID,Baujahr,GEOPOINT_ID,Haltungslaenge,Mittlere_Tiefe,Kanalart,Wasserschutzzone,Lage_im_Verkehrsraum,Grundwasserstand,Materialart,Materialgruppe,Cluster_Name,Profilart,Profilbreite,Profilhoehe,Erneuerung,SUBS_CLASS,PRIO_CLASS,SUBSTANZ,Prioritaet,ENTSCHEIDUNG_KUBUS_C,ENTSCHEIDUNG_STRATEGIE,Ausgabe,RAD,RBW_AHK,Lat1,Lat2,Long1,Long2
1,2016,13,1988,26,48.81,3.0,K,IIIa,B5,1,SB,Stahlbeton,Stahlbeton,DN,300,300,48104.7,0.53230245401,0.57,94.68,11.18,0,1,0.0,39,0.0,50.5315486658,50.5319533184,9.57675355245,9.57652502468
26,2016,14,1988,28,13.456,3.0,K,IIIa,B4,1,SB,Stahlbeton,Stahlbeton,DN,300,300,13261.56,0.53230245401,0.57,94.68,11.18,0,1,0.0,39,0.0,50.5319615904,50.5320639226,9.57652540769,9.57659679507
51,2016,15,1988,30,70.739,2.78,K,IIIa,B4,1,SB,Stahlbeton,Stahlbeton,DN,300,300,57107.59,0.53230245401,0.57,94.68,11.18,0,1,0.0,39,0.0,50.5320708965,50.5324744799,9.5766050497,9.57735834936
76,2016,16,1988,32,63.054,2.94,K,IIIa,B4,1,SB,Stahlbeton,Stahlbeton,DN,300,300,50903.49,0.53230245401,0.57,94.68,11.18,0,1,0.0,39,0.0,50.5324804533,50.5328669284,9.57736886367,9.57800039457
101,2016,17,1988,34,3.032,2.84,K,IIIa,B5,1,SB,Stahlbeton,Stahlbeton,DN,300,300,2447.73,3.14862712815,5.06,47.81,100.0,3,1,0.0,39,0.0,50.5315231414,50.5315402957,9.57676835275,9.57675845935
126,2016,18,1988,36,50.672,2.87,K,IIIa,B4,2,SB,Stahlbeton,Stahlbeton,DN,400,400,49007.42,1.42768173702,5.06,82.56,100.0,1,1,0.0,39,0.0,50.532874174,50.5332816666,9.57800824367,9.57829510328
151,2016,19,1988,38,36.256,3.04,K,IIIa,B4,2,SB,Stahlbeton,Stahlbeton,DN,400,400,41027.29,2.05259499409,4.09,68.95,81.56,2,2,0.0,39,0.0,50.533290179,50.5335984296,9.57829958153,9.57841630336
176,2016,20,1988,40,36.231,2.53,K,IIIa,B5,2,SB,Stahlbeton,Stahlbeton,DN,300,300,29249.29,3.08693925923,5.06,47.39,100.0,3,1,0.0,39,0.0,50.5340234804,50.5337068057,9.57803597507,9.5780201396
201,2016,21,1988,42,11.11,2.2,K,IIIa,B5,1,B,Beton,Beton,DN,300,300,8969.1,0.686889507302,1.0,93.13,19.85,0,1,0.0,39,0.0,50.5336981697,50.5336123709,9.57802243283,9.57807005093
226,2016,22,1988,44,16.049,2.34,K,IIIa,B5,1,SB,Stahlbeton,Stahlbeton,DN,300,300,12956.36,1.58627307121,3.27,78.27,65.08,1,1,0.0,39,0.0,50.5336072964,50.5335803712,9.57807956983,9.57828770677
251,2016,23,1988,46,9.125,3.1,K,IIIa,B5,1,SB,Stahlbeton,Stahlbeton,DN,300,300,8993.14,1.43854325784,1.29,81.23,25.4,1,1,0.0,39,0.0,50.5335809245,50.5336014134,9.57830124534,9.57841126013
276,2016,24,1988,48,41.067,2.58,K,IIIa,B5,2,SB,Stahlbeton,Stahlbeton,DN,300,300,33153.39,1.90625832119,3.43,71.87,68.19,1,1,0.0,39,0.0,50.5343925839,50.5340324711,9.57805589447,9.57803650825
301,2016,25,1988,50,26.312,3.63,K,IIIa,B5,2,SB,Stahlbeton,Stahlbeton,DN,500,500,40970.42,3.04096968237,3.21,50.3,63.97,3,1,0.0,39,0.0,50.5336072188,50.5338308697,9.57841937401,9.5784852953
326,2016,26,1988,52,49.043,3.8,K,IIIa,B5,2,SB,Stahlbeton,Stahlbeton,DN,600,600,84147.98,1.52044490214,3.21,79.59,63.97,1,1,0.0,39,0.0,50.5338394838,50.5342432617,9.57848921046,9.57873066935
351,2016,27,1988,54,29.137,2.1,K,IIIa,B5,1,STZ,Steinzeug,Steinzeug,DN,200,200,19367.36,0.599990724907,0.74,94.0,14.7,0,1,0.0,39,0.0,50.5381677472,50.5382018383,9.57817766039,9.5785710741
376,2016,28,1988,56,26.711,2.22,K,IIIa,BG,2,STZ,Steinzeug,Steinzeug,DN,200,200,17754.8,1.34311130386,3.24,83.14,64.75,1,1,0.0,39,0.0,50.5382448248,50.538168355,9.57782153383,9.57816393714
401,2016,150,1981,300,17.225,2.02,K,KW,BG,1,B,Beton,Beton,DN,400,400,16659.16,1.34493024188,2.31,94.41,13.53,0,1,0.0,32,0.0,50.5603127624,50.5604512445,9.58906575585,9.58913791856
426,2016,151,1981,302,48.852,2.85,K,KW,BG,1,B,Beton,Beton,DN,400,400,47247.21,1.34493024188,2.31,94.41,13.53,0,1,0.0,32,0.0,50.5606153554,50.5606405746,9.58918915305,9.58914428857
451,2016,153,1981,306,34.784,2.58,K,KW,BG,1,B,Beton,Beton,DN,500,500,45721.83,1.34493024188,2.31,94.41,13.53,0,1,0.0,32,0.0,50.5606749331,50.5607629198,9.58913635881,9.58920816094
476,2016,161,1981,322,22.919,2.7,K,KW,BG,1,B,Beton,Beton,DN,500,500,30125.88,1.34493024188,2.31,94.41,13.53,0,1,0.0,32,0.0,50.5609395835,50.5609377817,9.58864796728,9.58865215215
501,2016,179,2011,358,55.365,2.77,K,IIIa,B5,1,PP,Kunststoff,Kunststoff,DN,200,200,36801.12,0.101148230349,0.0,99.97,0.05,0,1,0.0,62,0.0,50.5319266635,50.5323594458,9.58411092385,9.58375105962
526,2016,180,2011,360,84.345,2.02,K,IIIa,B5,1,PP,Kunststoff,Kunststoff,DN,200,200,56064.12,0.101148230349,0.0,99.97,0.05,0,1,0.0,62,0.0,50.5323684044,50.5331042428,9.58374720527,9.58353080523
551,2016,181,1988,362,48.693,2.3,K,II,BG,2,SB,Stahlbeton,Stahlbeton,DN,300,300,39309.86,3.08100864787,3.36,47.57,66.92,3,1,0.0,39,0.0,50.5392198344,50.539477827,9.58559681768,9.58613450781
576,2016,182,1988,364,58.614,2.2,K,II,BG,2,SB,Stahlbeton,Stahlbeton,DN,300,300,47319.08,3.08100864787,3.36,47.57,66.92,3,1,0.0,39,0.0,50.5394831569,50.539783226,9.58614586354,9.5868086358
601,2016,183,1988,366,48.658,2.11,K,IIIa,BG,2,SB,Stahlbeton,Stahlbeton,DN,400,400,47059.58,3.17902248999,3.36,44.63,66.92,3,1,0.0,39,0.0,50.5397864893,50.5398435365,9.58682137726,9.58748791293
626,2016,184,2014,368,9.145,2.89,K,II,B5,1,B/L,Liner,Renovierung,DN,250,250,6078.68,0.150006170254,0.0,100.0,0.01,0,1,0.0,65,0.0,50.5396811029,50.5396124419,9.58346623191,9.58342616717
651,2016,185,2014,370,61.862,3.36,K,II,B5,1,B/L,Liner,Renovierung,DN,300,300,60968.09,1.13050140277,1.0,90.19,20.0,1,1,0.0,65,0.0,50.539604924,50.5392092044,9.58341889135,9.58282548225
676,2016,186,2014,372,30.194,2.57,K,II,B5,1,B/L,Liner,Renovierung,DN,250,250,20069.95,0.150006170254,0.0,100.0,0.01,0,1,0.0,65,0.0,50.539946974,50.5396897227,9.58338502226,9.58346718498
701,2016,187,1988,374,22.324,3.74,K,IIIa,B5,1,SB,Stahlbeton,Stahlbeton,DN,900,900,46287.7,1.355467139,1.24,82.89,24.42,1,1,0.0,39,0.0,50.5397014205,50.5396650066,9.58466540917,9.58496087659
726,2016,188,1988,376,9.839,3.32,K,IIIa,B5,1,SB,Stahlbeton,Stahlbeton,DN,900,900,20400.67,1.355467139,1.24,82.89,24.42,1,1,0.0,39,0.0,50.5396607667,50.5396008197,9.58497243844,9.58505429521
751,2016,189,2014,378,54.973,3.48,K,II,B5,1,B/L,Liner,Renovierung,DN,300,300,54178.64,1.13049393686,1.0,90.2,20.0,1,1,0.0,65,0.0,50.5398803802,50.5396107156,9.58406287109,9.58342967391
776,2016,190,2014,380,48.932,3.44,K,II,B5,1,B/L,Liner,Renovierung,DN,300,300,48224.93,1.13049393686,1.0,90.2,20.0,1,1,0.0,65,0.0,50.5401455885,50.5398856197,9.58461391511,9.58407435258
801,2016,191,1988,382,16.844,3.1,K,IIIa,B5,2,SB,Stahlbeton,Stahlbeton,DN,900,900,34925.19,2.36332093038,2.6,62.73,51.77,2,2,0.0,39,0.0,50.5395940192,50.5394979058,9.58506356742,9.585189232
826,2016,192,1988,384,51.121,1.67,K,IIIa,BG,2,SB,Stahlbeton,Stahlbeton,DN,400,400,41211.19,3.16710909431,3.36,44.99,66.92,3,1,0.0,39,0.0,50.539844716,50.5399029322,9.58750189866,9.5882032936
